,id,date,lat,long,price_x,bedrooms,bathrooms,zipcode,price_median,status,profit
323,1787600164,2014-07-23,47.7248,-122.325,310000.0,2,1.0,98125,425000.0,compra sugerida,115000.0
325,3992700265,2014-08-04,47.7121,-122.287,385100.0,3,1.0,98125,425000.0,compra sugerida,39900.0
339,1454100056,2014-07-15,47.7232,-122.289,355000.0,3,1.0,98125,425000.0,compra sugerida,70000.0
345,7663700551,2015-04-07,47.7333,-122.302,336000.0,3,2.0,98125,425000.0,compra sugerida,89000.0
372,8820900670,2014-06-23,47.7175,-122.288,399950.0,3,1.75,98125,425000.0,compra sugerida,25050.0
381,7715600050,2015-02-19,47.719,-122.307,385000.0,3,1.75,98125,425000.0,compra sugerida,40000.0
384,1454100480,2014-08-19,47.7262,-122.285,378500.0,2,1.0,98125,425000.0,compra sugerida,46500.0
396,4427100025,2014-05-09,47.7276,-122.312,270000.0,3,1.5,98125,425000.0,compra sugerida,155000.0
400,6381500065,2014-07-29,47.7326,-122.307,376500.0,3,2.0,98125,425000.0,compra sugerida,48500.0
415,5272200040,2014-11-21,47.7142,-122.319,375000.0,3,1.0,98125,425000.0,compra sugerida,50000.0
429,3992700775,2015-01-21,47.712,-122.281,410000.0,4,2.0,98125,425000.0,compra sugerida,15000.0
453,6413100311,2014-06-03,47.7143,-122.32,390000.0,3,2.0,98125,425000.0,compra sugerida,35000.0
460,7663700783,2014-06-13,47.7303,-122.298,369500.0,3,1.5,98125,425000.0,compra sugerida,55500.0
491,3992700326,2014-08-22,47.7134,-122.288,380000.0,3,1.0,98125,425000.0,compra sugerida,45000.0
493,3448002267,2015-04-28,47.7134,-122.292,385000.0,3,1.75,98125,425000.0,compra sugerida,40000.0
504,7663700772,2015-02-18,47.7307,-122.297,370000.0,4,2.0,98125,425000.0,compra sugerida,55000.0
514,6414100133,2014-05-22,47.7207,-122.32,337000.0,3,1.0,98125,425000.0,compra sugerida,88000.0
526,705000120,2015-04-06,47.7263,-122.3,395000.0,3,1.0,98125,425000.0,compra sugerida,30000.0
550,8820903560,2014-12-16,47.7139,-122.288,380000.0,2,1.0,98125,425000.0,compra sugerida,45000.0
554,6413600285,2014-08-25,47.7192,-122.32,402000.0,3,1.75,98125,425000.0,compra sugerida,23000.0
557,3834500170,2015-01-16,47.7218,-122.299,375000.0,3,1.75,98125,425000.0,compra sugerida,50000.0
569,8632100010,2014-06-04,47.7294,-122.329,365000.0,2,1.0,98125,425000.0,compra sugerida,60000.0
579,751000190,2014-10-02,47.7107,-122.291,355000.0,3,1.75,98125,425000.0,compra sugerida,70000.0
581,9421500130,2014-06-16,47.7255,-122.297,378000.0,5,2.5,98125,425000.0,compra sugerida,47000.0
584,8901000491,2014-08-28,47.7116,-122.311,390000.0,2,1.0,98125,425000.0,compra sugerida,35000.0
603,6381500265,2014-06-27,47.7332,-122.304,397000.0,5,1.0,98125,425000.0,compra sugerida,28000.0
615,9324800025,2014-11-25,47.7329,-122.291,325500.0,3,1.5,98125,425000.0,compra sugerida,99500.0
616,4077800258,2014-10-09,47.7098,-122.283,400000.0,3,1.0,98125,425000.0,compra sugerida,25000.0
621,3822200087,2015-03-19,47.7281,-122.299,355000.0,3,1.0,98125,425000.0,compra sugerida,70000.0
628,8822900115,2014-12-09,47.7175,-122.292,306000.0,2,1.75,98125,425000.0,compra sugerida,119000.0
633,5667100025,2014-07-08,47.72,-122.318,405000.0,3,1.5,98125,425000.0,compra sugerida,20000.0
634,6381500110,2015-01-08,47.7336,-122.306,330000.0,3,1.0,98125,425000.0,compra sugerida,95000.0
662,114101516,2014-05-28,47.7558,-122.229,310000.0,3,1.0,98028,442500.0,compra sugerida,132500.0
665,5634500392,2015-04-10,47.7486,-122.23,330000.0,3,3.0,98028,442500.0,compra sugerida,112500.0
666,3649100320,2015-04-30,47.7405,-122.241,330000.0,2,1.0,98028,442500.0,compra sugerida,112500.0
669,8718500075,2014-11-17,47.7403,-122.256,396000.0,3,1.5,98028,442500.0,compra sugerida,46500.0
676,4140900140,2014-05-27,47.7629,-122.268,438000.0,3,1.75,98028,442500.0,compra sugerida,4500.0
687,7297700055,2015-03-05,47.7428,-122.244,306000.0,3,1.0,98028,442500.0,compra sugerida,136500.0
708,2570500090,2014-10-07,47.7755,-122.235,385000.0,5,1.5,98028,442500.0,compra sugerida,57500.0
709,3649100315,2014-06-25,47.7365,-122.242,418800.0,4,2.25,98028,442500.0,compra sugerida,23700.0
710,3949600090,2014-12-01,47.7746,-122.239,335000.0,3,1.0,98028,442500.0,compra sugerida,107500.0
711,6179900090,2015-05-07,47.7726,-122.266,415000.0,3,1.75,98028,442500.0,compra sugerida,27500.0
715,8718500495,2014-07-30,47.7396,-122.256,375000.0,4,1.75,98028,442500.0,compra sugerida,67500.0
743,3582750280,2015-03-26,47.752,-122.253,347000.0,2,1.75,98028,442500.0,compra sugerida,95500.0
749,3582750170,2015-04-29,47.7528,-122.252,410000.0,2,2.25,98028,442500.0,compra sugerida,32500.0
752,5628400080,2014-12-18,47.7393,-122.244,420000.0,3,2.25,98028,442500.0,compra sugerida,22500.0
760,3824100235,2014-07-24,47.771,-122.258,425000.0,4,1.75,98028,442500.0,compra sugerida,17500.0
763,3649100306,2014-05-06,47.7373,-122.241,379900.0,4,1.75,98028,442500.0,compra sugerida,62600.0
765,3579700100,2014-05-27,47.7325,-122.245,389000.0,5,2.0,98028,442500.0,compra sugerida,53500.0
776,3815500035,2014-05-20,47.7623,-122.256,385000.0,3,1.5,98028,442500.0,compra sugerida,57500.0
782,2570500230,2014-05-29,47.7743,-122.235,400000.0,5,2.0,98028,442500.0,compra sugerida,42500.0
783,3649100276,2014-06-09,47.7391,-122.241,368000.0,3,1.75,98028,442500.0,compra sugerida,74500.0
797,1357300240,2014-10-27,47.7341,-122.237,333500.0,3,1.75,98028,442500.0,compra sugerida,109000.0
809,3816300105,2015-01-12,47.764,-122.262,435000.0,4,2.5,98028,442500.0,compra sugerida,7500.0
816,3818700016,2014-10-07,47.7647,-122.263,434000.0,3,1.75,98028,442500.0,compra sugerida,8500.0
819,114100354,2014-12-12,47.7743,-122.26,249000.0,3,1.0,98028,442500.0,compra sugerida,193500.0
834,3582750120,2014-07-15,47.753,-122.252,409000.0,2,2.25,98028,442500.0,compra sugerida,33500.0
851,5631500905,2014-07-23,47.7477,-122.232,272925.0,2,1.0,98028,442500.0,compra sugerida,169575.0
853,114100297,2014-09-22,47.7769,-122.25,400000.0,3,1.75,98028,442500.0,compra sugerida,42500.0
858,5634500182,2014-07-15,47.7489,-122.236,396000.0,4,1.75,98028,442500.0,compra sugerida,46500.0
860,114101426,2014-06-17,47.7595,-122.23,375000.0,3,1.75,98028,442500.0,compra sugerida,67500.0
863,8045600130,2014-05-28,47.739,-122.243,425000.0,4,2.75,98028,442500.0,compra sugerida,17500.0
870,4140500050,2014-09-08,47.7641,-122.265,362000.0,3,1.0,98028,442500.0,compra sugerida,80500.0
878,3818700190,2014-12-15,47.7642,-122.264,387846.0,4,1.75,98028,442500.0,compra sugerida,54654.0
880,3649100346,2015-01-09,47.7391,-122.241,322968.0,5,1.75,98028,442500.0,compra sugerida,119532.0
881,4189800050,2014-05-20,47.7355,-122.231,335000.0,3,1.0,98028,442500.0,compra sugerida,107500.0
883,766900250,2015-04-02,47.737,-122.225,406000.0,3,1.75,98028,442500.0,compra sugerida,36500.0
885,3818700185,2014-09-25,47.7635,-122.263,400000.0,4,1.5,98028,442500.0,compra sugerida,42500.0
886,6181700250,2015-02-26,47.7598,-122.255,350000.0,2,1.0,98028,442500.0,compra sugerida,92500.0
890,3579800405,2014-08-25,47.7341,-122.242,440000.0,4,2.5,98028,442500.0,compra sugerida,2500.0
892,3649100031,2015-03-05,47.739,-122.249,345000.0,4,1.0,98028,442500.0,compra sugerida,97500.0
903,5631501161,2015-04-17,47.7474,-122.235,425000.0,4,1.75,98028,442500.0,compra sugerida,17500.0
906,3824100211,2014-06-26,47.7714,-122.256,370000.0,3,1.5,98028,442500.0,compra sugerida,72500.0
910,8718500610,2014-05-26,47.739,-122.253,379950.0,3,1.5,98028,442500.0,compra sugerida,62550.0
946,9238901420,2015-02-02,47.5346,-122.385,442000.0,3,1.0,98136,489950.0,compra sugerida,47950.0
952,7625701891,2014-08-06,47.5499,-122.391,435000.0,3,1.0,98136,489950.0,compra sugerida,54950.0
962,3013301525,2014-10-13,47.5286,-122.383,453500.0,2,1.5,98136,489950.0,compra sugerida,36450.0
965,2493200435,2014-08-25,47.5275,-122.383,360000.0,2,2.0,98136,489950.0,compra sugerida,129950.0
982,2594200375,2015-03-30,47.5142,-122.389,427500.0,3,1.75,98136,489950.0,compra sugerida,62450.0
984,9417400215,2014-07-31,47.5483,-122.394,363000.0,2,1.0,98136,489950.0,compra sugerida,126950.0
990,3522900061,2015-04-21,47.5411,-122.391,418000.0,2,1.0,98136,489950.0,compra sugerida,71950.0
994,2461900945,2015-04-21,47.5511,-122.386,438000.0,5,1.0,98136,489950.0,compra sugerida,51950.0
1011,7625703637,2014-08-28,47.5469,-122.391,286000.0,2,1.0,98136,489950.0,compra sugerida,203950.0
1019,7626200280,2014-10-02,47.5449,-122.388,425000.0,2,1.0,98136,489950.0,compra sugerida,64950.0
1021,7104100050,2014-06-24,47.5499,-122.394,485000.0,3,2.5,98136,489950.0,compra sugerida,4950.0
1026,3013300968,2014-08-01,47.5309,-122.382,416500.0,3,1.0,98136,489950.0,compra sugerida,73450.0
1033,4315700175,2014-06-12,47.5403,-122.391,440000.0,3,1.0,98136,489950.0,compra sugerida,49950.0
1041,7104100065,2014-09-26,47.5501,-122.393,425000.0,2,2.0,98136,489950.0,compra sugerida,64950.0
1052,312000295,2015-01-22,47.5569,-122.394,400000.0,2,1.0,98136,489950.0,compra sugerida,89950.0
1066,5705500075,2015-03-26,47.5559,-122.396,388000.0,2,1.75,98136,489950.0,compra sugerida,101950.0
1068,1090000075,2014-12-16,47.5319,-122.391,393000.0,2,1.0,98136,489950.0,compra sugerida,96950.0
1074,4322200105,2015-03-31,47.5375,-122.391,229050.0,1,1.0,98136,489950.0,compra sugerida,260900.0
1076,2594200350,2015-03-04,47.5145,-122.39,445000.0,2,1.0,98136,489950.0,compra sugerida,44950.0
1081,3560800040,2014-10-28,47.5551,-122.396,400000.0,2,1.75,98136,489950.0,compra sugerida,89950.0
1082,7625703405,2014-09-10,47.5474,-122.388,431000.0,2,1.0,98136,489950.0,compra sugerida,58950.0
1083,2810100040,2014-05-07,47.5421,-122.388,485000.0,3,2.0,98136,489950.0,compra sugerida,4950.0
1094,7625703065,2014-06-04,47.5479,-122.384,375000.0,2,1.0,98136,489950.0,compra sugerida,114950.0
1095,9100000040,2014-08-07,47.5563,-122.392,480000.0,3,1.75,98136,489950.0,compra sugerida,9950.0
1112,3123800080,2014-11-12,47.5146,-122.386,365000.0,2,1.5,98136,489950.0,compra sugerida,124950.0
1115,7625701900,2015-02-22,47.5496,-122.391,467500.0,2,1.75,98136,489950.0,compra sugerida,22450.0
1120,826000480,2014-08-26,47.5457,-122.383,448500.0,3,1.75,98136,489950.0,compra sugerida,41450.0
1131,7626200235,2014-05-23,47.5445,-122.391,464600.0,3,1.75,98136,489950.0,compra sugerida,25350.0
1135,2815600235,2015-04-02,47.5513,-122.394,450600.0,2,1.0,98136,489950.0,compra sugerida,39350.0
1165,9557200090,2014-11-12,47.5392,-122.39,399000.0,3,1.0,98136,489950.0,compra sugerida,90950.0
1182,3524039228,2014-07-23,47.5314,-122.392,394000.0,3,2.0,98136,489950.0,compra sugerida,95950.0
1207,6054650070,2014-10-07,47.6127,-122.045,400000.0,3,1.75,98074,645000.0,compra sugerida,245000.0
1250,6054650510,2014-06-09,47.6108,-122.044,347000.0,3,1.75,98074,645000.0,compra sugerida,298000.0
1256,8644400060,2014-10-29,47.6163,-122.056,568000.0,3,2.5,98074,645000.0,compra sugerida,77000.0
1263,7715801040,2015-02-21,47.6256,-122.059,465000.0,3,2.0,98074,645000.0,compra sugerida,180000.0
1272,7504400850,2014-05-21,47.6259,-122.051,442000.0,4,2.25,98074,645000.0,compra sugerida,203000.0
1276,1925069006,2014-12-03,47.6412,-122.079,355000.0,1,0.75,98074,645000.0,compra sugerida,290000.0
1280,1825069031,2014-08-14,47.6499,-122.088,550000.0,4,1.75,98074,645000.0,compra sugerida,95000.0
1297,6817800630,2014-05-16,47.6348,-122.032,385000.0,3,1.75,98074,645000.0,compra sugerida,260000.0
1314,3578401060,2014-12-16,47.6233,-122.046,345000.0,3,2.25,98074,645000.0,compra sugerida,300000.0
1342,2872900280,2015-04-06,47.6268,-122.038,540000.0,4,2.25,98074,645000.0,compra sugerida,105000.0
1344,8078410280,2015-05-04,47.6366,-122.029,550000.0,3,2.5,98074,645000.0,compra sugerida,95000.0
1346,6817801150,2015-03-30,47.6333,-122.034,555000.0,4,2.5,98074,645000.0,compra sugerida,90000.0
1348,3578400780,2015-03-27,47.6231,-122.043,508800.0,3,2.0,98074,645000.0,compra sugerida,136200.0
1358,3575303970,2014-07-16,47.6169,-122.062,340000.0,3,1.0,98074,645000.0,compra sugerida,305000.0
1362,3575304895,2014-09-23,47.622,-122.059,406550.0,5,2.75,98074,645000.0,compra sugerida,238450.0
1365,7504001080,2015-03-04,47.6294,-122.062,590000.0,4,2.5,98074,645000.0,compra sugerida,55000.0
1370,8562901250,2014-08-27,47.6086,-122.059,516000.0,4,2.75,98074,645000.0,compra sugerida,129000.0
1374,6600220150,2015-03-10,47.6305,-122.034,549950.0,4,2.5,98074,645000.0,compra sugerida,95050.0
1379,3325069060,2014-09-12,47.6052,-122.044,510000.0,3,1.75,98074,645000.0,compra sugerida,135000.0
1387,8644400040,2014-07-29,47.6153,-122.054,605000.0,4,2.25,98074,645000.0,compra sugerida,40000.0
1388,7715801030,2015-03-31,47.6255,-122.059,510000.0,4,2.5,98074,645000.0,compra sugerida,135000.0
1420,8562900310,2014-06-13,47.6095,-122.059,615000.0,3,1.75,98074,645000.0,compra sugerida,30000.0
1429,7504180070,2014-11-11,47.619,-122.054,577000.0,3,1.5,98074,645000.0,compra sugerida,68000.0
1437,3575301550,2015-04-07,47.6175,-122.065,560000.0,3,2.75,98074,645000.0,compra sugerida,85000.0
1452,3575200030,2014-07-29,47.6206,-122.056,549000.0,4,2.25,98074,645000.0,compra sugerida,96000.0
1481,8562900180,2014-05-09,47.6099,-122.058,491300.0,3,1.75,98074,645000.0,compra sugerida,153700.0
1482,1939120540,2014-07-22,47.6271,-122.028,640000.0,3,2.5,98074,645000.0,compra sugerida,5000.0
1500,8562901830,2014-08-05,47.6137,-122.06,454800.0,4,2.25,98074,645000.0,compra sugerida,190200.0
1518,8653600050,2015-02-25,47.6144,-122.067,572000.0,3,1.75,98074,645000.0,compra sugerida,73000.0
1520,3575302880,2014-11-10,47.6205,-122.063,339300.0,3,2.0,98074,645000.0,compra sugerida,305700.0
1536,3575304017,2014-08-22,47.6172,-122.061,315000.0,3,1.0,98074,645000.0,compra sugerida,330000.0
1558,3575302759,2014-08-06,47.6186,-122.063,365000.0,2,1.75,98074,645000.0,compra sugerida,280000.0
1590,6600220300,2014-09-14,47.6297,-122.033,600000.0,4,2.5,98074,645000.0,compra sugerida,45000.0
1593,3575303700,2014-07-25,47.6199,-122.062,324950.0,3,1.0,98074,645000.0,compra sugerida,320050.0
1599,3578401210,2014-12-18,47.6204,-122.044,557000.0,4,1.75,98074,645000.0,compra sugerida,88000.0
1600,8562901010,2014-09-26,47.6082,-122.057,505000.0,2,3.0,98074,645000.0,compra sugerida,140000.0
1700,8121610110,2015-03-03,47.6608,-122.035,521000.0,3,1.75,98053,635000.0,compra sugerida,114000.0
1774,203100460,2014-09-24,47.6422,-121.954,400000.0,1,1.0,98053,635000.0,compra sugerida,235000.0
1805,1525069058,2014-06-26,47.657,-122.026,568000.0,4,1.75,98053,635000.0,compra sugerida,67000.0
1822,8807600140,2015-04-24,47.6827,-122.059,405000.0,3,1.0,98053,635000.0,compra sugerida,230000.0
1826,203100435,2014-09-18,47.6429,-121.955,484000.0,1,0.0,98053,635000.0,compra sugerida,151000.0
1885,3811000180,2015-03-05,47.6657,-122.067,635000.0,4,2.25,98053,635000.0,compra sugerida,0.0
1918,8807300130,2014-12-17,47.6729,-122.064,330000.0,3,1.0,98053,635000.0,compra sugerida,305000.0
1936,7511200190,2014-09-10,47.6555,-122.042,580000.0,4,2.25,98053,635000.0,compra sugerida,55000.0
1944,8807810660,2015-03-02,47.6614,-122.056,350000.0,3,1.0,98053,635000.0,compra sugerida,285000.0
1961,203900610,2014-07-24,47.6384,-121.969,339000.0,3,1.75,98053,635000.0,compra sugerida,296000.0
1967,8807810090,2014-09-25,47.6606,-122.06,335000.0,3,1.0,98053,635000.0,compra sugerida,300000.0
1968,9508850120,2014-06-27,47.6688,-122.024,602000.0,4,1.75,98053,635000.0,compra sugerida,33000.0
2044,7983200060,2015-04-24,47.3343,-122.306,230000.0,3,1.0,98003,266500.0,compra sugerida,36500.0
2045,921049315,2014-08-13,47.3257,-122.296,199000.0,3,1.75,98003,266500.0,compra sugerida,67500.0
2049,3584000310,2014-12-08,47.3173,-122.319,225000.0,3,1.75,98003,266500.0,compra sugerida,41500.0
2050,1745100140,2014-10-17,47.3271,-122.323,210000.0,3,1.0,98003,266500.0,compra sugerida,56500.0
2052,7511800070,2014-08-21,47.3366,-122.306,264000.0,3,1.5,98003,266500.0,compra sugerida,2500.0
2055,7203000640,2014-09-18,47.3437,-122.316,215000.0,4,1.0,98003,266500.0,compra sugerida,51500.0
2056,2329500260,2014-07-09,47.3289,-122.327,232500.0,3,1.5,98003,266500.0,compra sugerida,34000.0
2057,421049116,2015-01-21,47.3298,-122.297,216000.0,3,1.0,98003,266500.0,compra sugerida,50500.0
2061,7683800192,2014-11-07,47.3335,-122.305,179950.0,3,1.0,98003,266500.0,compra sugerida,86550.0
2065,7203000465,2014-10-18,47.346,-122.315,245000.0,3,2.0,98003,266500.0,compra sugerida,21500.0
2077,4322300340,2015-01-12,47.2808,-122.3,265000.0,4,1.5,98003,266500.0,compra sugerida,1500.0
2080,2268000370,2014-07-08,47.2741,-122.301,190000.0,3,1.0,98003,266500.0,compra sugerida,76500.0
2082,2190601049,2015-04-29,47.2881,-122.294,212000.0,3,1.5,98003,266500.0,compra sugerida,54500.0
2083,4131500140,2015-02-12,47.3035,-122.307,175000.0,5,1.75,98003,266500.0,compra sugerida,91500.0
2100,5151600480,2015-04-02,47.3364,-122.318,248000.0,3,1.75,98003,266500.0,compra sugerida,18500.0
2107,1140000050,2014-11-26,47.2823,-122.333,215000.0,3,1.75,98003,266500.0,compra sugerida,51500.0
2111,2268000470,2014-12-31,47.2738,-122.301,241500.0,3,1.0,98003,266500.0,compra sugerida,25000.0
2115,7875400050,2014-08-27,47.3217,-122.318,212000.0,3,1.5,98003,266500.0,compra sugerida,54500.0
2116,3391900130,2014-09-03,47.3282,-122.332,258750.0,4,2.0,98003,266500.0,compra sugerida,7750.0
2119,2268000050,2014-07-21,47.2742,-122.299,229900.0,3,1.0,98003,266500.0,compra sugerida,36600.0
2120,2191600780,2014-10-10,47.2887,-122.299,219000.0,2,1.0,98003,266500.0,compra sugerida,47500.0
2121,4222310290,2014-08-19,47.3493,-122.306,253000.0,4,2.0,98003,266500.0,compra sugerida,13500.0
2128,2345500010,2014-09-25,47.2755,-122.308,210500.0,2,1.75,98003,266500.0,compra sugerida,56000.0
2135,7941600220,2014-06-10,47.3173,-122.327,219900.0,3,1.0,98003,266500.0,compra sugerida,46600.0
2160,5149800040,2014-09-18,47.3326,-122.323,255000.0,4,2.0,98003,266500.0,compra sugerida,11500.0
2164,3275310220,2014-12-22,47.2574,-122.31,244000.0,3,2.0,98003,266500.0,compra sugerida,22500.0
2185,4322300140,2014-11-03,47.2811,-122.299,265000.0,3,2.25,98003,266500.0,compra sugerida,1500.0
2191,7941600390,2014-06-23,47.317,-122.325,225000.0,3,1.75,98003,266500.0,compra sugerida,41500.0
2198,2821049082,2015-02-12,47.2791,-122.3,225000.0,2,1.0,98003,266500.0,compra sugerida,41500.0
2202,537000416,2015-04-29,47.3255,-122.305,250000.0,3,2.0,98003,266500.0,compra sugerida,16500.0
2203,3275300270,2014-07-08,47.2598,-122.311,250000.0,3,1.75,98003,266500.0,compra sugerida,16500.0
2204,103400160,2014-05-15,47.2857,-122.3,263000.0,3,2.25,98003,266500.0,compra sugerida,3500.0
2209,7466900320,2015-03-04,47.3448,-122.298,242000.0,3,1.75,98003,266500.0,compra sugerida,24500.0
2210,7682200320,2015-04-09,47.334,-122.3,197400.0,3,2.0,98003,266500.0,compra sugerida,69100.0
2219,9315100210,2015-02-17,47.3352,-122.307,227490.0,3,1.75,98003,266500.0,compra sugerida,39010.0
2220,2329600040,2014-11-18,47.3294,-122.331,158000.0,3,1.5,98003,266500.0,compra sugerida,108500.0
2229,3375300360,2014-07-01,47.3179,-122.331,217500.0,3,1.75,98003,266500.0,compra sugerida,49000.0
2230,2190600243,2014-11-18,47.2878,-122.297,210000.0,3,1.5,98003,266500.0,compra sugerida,56500.0
2232,4222310220,2014-08-25,47.3489,-122.306,235500.0,3,1.5,98003,266500.0,compra sugerida,31000.0
2236,7683800212,2014-12-18,47.3348,-122.303,229000.0,3,1.0,98003,266500.0,compra sugerida,37500.0
2237,2268000180,2015-03-25,47.275,-122.302,230000.0,3,1.0,98003,266500.0,compra sugerida,36500.0
2242,2501600150,2015-03-10,47.3299,-122.318,194000.0,4,2.0,98003,266500.0,compra sugerida,72500.0
2247,4222310010,2014-12-26,47.3467,-122.307,152500.0,4,1.0,98003,266500.0,compra sugerida,114000.0
2255,2329600280,2015-02-02,47.329,-122.33,225900.0,3,1.0,98003,266500.0,compra sugerida,40600.0
2258,7683800010,2015-04-21,47.3352,-122.297,205000.0,3,1.0,98003,266500.0,compra sugerida,61500.0
2260,7943000020,2015-03-26,47.3205,-122.33,183000.0,2,1.0,98003,266500.0,compra sugerida,83500.0
2266,271200130,2014-11-19,47.3444,-122.304,215000.0,3,1.0,98003,266500.0,compra sugerida,51500.0
2267,7984400005,2014-06-26,47.3256,-122.298,253500.0,3,1.0,98003,266500.0,compra sugerida,13000.0
2274,4222310680,2014-09-26,47.3463,-122.308,240000.0,3,2.0,98003,266500.0,compra sugerida,26500.0
2297,3584000180,2014-05-28,47.3182,-122.319,253400.0,3,2.0,98003,266500.0,compra sugerida,13100.0
2301,643000110,2015-03-25,47.3311,-122.326,247500.0,3,1.0,98003,266500.0,compra sugerida,19000.0
2304,1745000090,2014-11-10,47.328,-122.321,208000.0,3,1.5,98003,266500.0,compra sugerida,58500.0
2305,7575600610,2015-02-09,47.3541,-122.3,265000.0,3,2.5,98003,266500.0,compra sugerida,1500.0
2310,5153900150,2014-07-08,47.3325,-122.321,205000.0,3,1.0,98003,266500.0,compra sugerida,61500.0
2320,3530510041,2014-07-23,47.3813,-122.322,188500.0,2,1.75,98198,265000.0,compra sugerida,76500.0
2323,8644000060,2014-10-24,47.4207,-122.29,237000.0,3,1.75,98198,265000.0,compra sugerida,28000.0
2325,2008200060,2014-06-24,47.4097,-122.316,160000.0,3,1.5,98198,265000.0,compra sugerida,105000.0
2329,3530490070,2014-06-13,47.3825,-122.319,210000.0,2,1.75,98198,265000.0,compra sugerida,55000.0
2332,2009001600,2015-05-06,47.4061,-122.33,265000.0,3,1.0,98198,265000.0,compra sugerida,0.0
2340,3445000274,2015-05-13,47.4167,-122.302,170000.0,3,1.0,98198,265000.0,compra sugerida,95000.0
