,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,m2_living,m2_lot,m2_basement,m2_above,day,week_of_year,month,year,median_price,status
176,3348401622,2014-07-31,223000.0,3,2.0,1310,8440,1.0,0,0,5,6,1310,0,1951,0,98178,47.5003,-122.269,1790,10775,121.70298240000001,784.1016576000001,0.0,121.70298240000001,31,31,7,2014,279000.0,buy
183,1180005280,2014-07-23,239950.0,4,1.0,1460,6000,1.0,0,0,4,7,730,730,1941,0,98178,47.4952,-122.224,1190,6000,135.6384384,557.4182400000001,67.8192192,67.8192192,23,30,7,2014,279000.0,buy
186,3352400351,2014-11-21,200000.0,3,1.0,1480,5600,1.0,0,0,4,6,940,540,1947,0,98178,47.5045,-122.27,1350,11100,137.49649920000002,520.257024,50.1676416,87.3288576,21,47,11,2014,279000.0,buy
195,1180005220,2015-05-05,225000.0,2,1.0,1070,6000,1.0,0,0,4,5,1070,0,1922,0,98178,47.495,-122.227,1910,6000,99.4062528,557.4182400000001,0.0,99.4062528,5,19,5,2015,279000.0,buy
199,7657600005,2014-10-31,249950.0,5,2.0,1730,7375,1.0,0,0,4,6,1730,0,1944,0,98178,47.4953,-122.238,1550,7125,160.72225920000002,685.15992,0.0,160.72225920000002,31,44,10,2014,279000.0,buy
207,4059400585,2014-06-24,218000.0,3,1.0,880,18205,1.0,0,0,4,6,880,0,1945,0,98178,47.5013,-122.244,1110,16115,81.75467520000001,1691.2998432000002,0.0,81.75467520000001,24,26,6,2014,279000.0,buy
211,7689600630,2014-11-06,216500.0,2,1.0,710,6960,1.0,0,0,4,6,710,0,1943,0,98178,47.4886,-122.246,940,7680,65.9611584,646.6051584,0.0,65.9611584,6,45,11,2014,279000.0,buy
212,4059400190,2014-10-17,225000.0,2,1.0,800,6050,1.0,0,0,4,6,800,0,1944,0,98178,47.5001,-122.242,880,6050,74.322432,562.063392,0.0,74.322432,17,42,10,2014,279000.0,buy
215,4060000290,2014-06-17,253000.0,3,1.5,880,6600,1.0,0,0,5,6,880,0,1945,0,98178,47.5002,-122.247,1020,6600,81.75467520000001,613.160064,0.0,81.75467520000001,17,25,6,2014,279000.0,buy
222,3347401315,2014-06-16,220000.0,3,2.0,1410,7998,1.0,0,0,4,7,1410,0,1940,0,98178,47.4968,-122.277,1780,8278,130.99328640000002,743.03851392,0.0,130.99328640000002,16,25,6,2014,279000.0,buy
241,2144800146,2014-08-26,257500.0,3,2.0,1300,9334,1.0,0,0,5,7,1300,0,1981,0,98178,47.4865,-122.238,2210,9636,120.77395200000001,867.15697536,0.0,120.77395200000001,26,35,8,2014,279000.0,buy
271,1455100116,2015-02-02,397500.0,3,1.25,1510,13737,1.0,0,3,4,6,810,700,1961,0,98125,47.7289,-122.283,2560,10202,140.2835904,1276.20906048,65.032128,75.25146240000001,2,6,2,2015,425000.0,buy
277,751000060,2014-05-06,353000.0,3,1.0,1350,7740,1.0,0,0,4,6,860,490,1947,0,98125,47.7098,-122.291,1130,7740,125.419104,719.0695296,45.5224896,79.8966144,6,19,5,2014,425000.0,buy
281,6370000070,2014-09-19,359000.0,4,1.5,1890,6052,1.0,0,0,4,7,1890,0,1955,0,98125,47.7055,-122.3,1510,6072,175.5867456,562.24919808,0.0,175.5867456,19,38,9,2014,425000.0,buy
285,2126049032,2014-09-05,375000.0,3,1.75,1330,9417,1.0,0,0,5,6,710,620,1936,0,98125,47.7231,-122.301,1690,7937,123.56104320000001,874.8679276800001,57.599884800000005,65.9611584,5,36,9,2014,425000.0,buy
287,3226049117,2015-02-13,387500.0,2,1.0,870,6126,1.0,0,0,4,7,870,0,1938,0,98125,47.7024,-122.322,1620,6126,80.8256448,569.12402304,0.0,80.8256448,13,7,2,2015,425000.0,buy
289,6632300478,2014-09-16,400000.0,4,2.0,1350,7255,1.0,0,0,4,7,1350,0,1959,0,98125,47.7287,-122.31,1050,7288,125.419104,674.0115552000001,0.0,125.419104,16,38,9,2014,425000.0,buy
295,4427100105,2015-04-28,398000.0,4,1.0,1430,6240,1.5,0,0,5,7,1430,0,1953,0,98125,47.7272,-122.311,1410,6240,132.85134720000002,579.7149696,0.0,132.85134720000002,28,18,4,2015,425000.0,buy
304,9324800110,2014-07-28,420000.0,3,1.75,1720,8102,1.0,0,0,5,6,860,860,1940,0,98125,47.7336,-122.29,1440,8106,159.7932288,752.70043008,79.8966144,79.8966144,28,31,7,2014,425000.0,buy
306,6381501636,2014-08-20,320000.0,3,1.0,1780,6840,2.0,0,0,4,6,1780,0,1947,0,98125,47.727,-122.3,1410,7200,165.36741120000002,635.4567936000001,0.0,165.36741120000002,20,34,8,2014,425000.0,buy
313,8820902540,2014-11-14,425000.0,2,1.0,1670,6212,1.0,0,0,4,7,1670,0,1947,0,98125,47.7152,-122.282,1670,7272,155.1480768,577.1136844800001,0.0,155.1480768,14,46,11,2014,425000.0,buy
314,7663700261,2014-10-08,395000.0,4,1.75,1960,7945,1.0,0,0,4,7,980,980,1946,0,98125,47.7326,-122.291,1290,7945,182.0899584,738.1146528,91.0449792,91.0449792,8,41,10,2014,425000.0,buy
320,6855700115,2014-06-26,357250.0,3,1.5,1400,8840,1.0,0,0,4,6,1400,0,1952,0,98125,47.7273,-122.309,1260,8840,130.064256,821.2628736,0.0,130.064256,26,26,6,2014,425000.0,buy
323,1787600164,2014-07-23,310000.0,2,1.0,1560,4920,1.0,0,0,4,6,780,780,1947,0,98125,47.7248,-122.325,1760,7510,144.9287424,457.08295680000003,72.4643712,72.4643712,23,30,7,2014,425000.0,buy
325,3992700265,2014-08-04,385100.0,3,1.0,1060,8040,1.0,0,0,4,6,1060,0,1949,0,98125,47.7121,-122.287,1300,7620,98.4772224,746.9404416000001,0.0,98.4772224,4,32,8,2014,425000.0,buy
339,1454100056,2014-07-15,355000.0,3,1.0,1600,5001,1.5,0,0,5,6,1080,520,1930,0,98125,47.7232,-122.289,1340,5001,148.644864,464.60810304,48.309580800000006,100.3352832,15,29,7,2014,425000.0,buy
345,7663700551,2015-04-07,336000.0,3,2.0,1060,11765,1.0,0,0,4,6,1060,0,1951,0,98125,47.7333,-122.302,1500,9151,98.4772224,1093.0042656,0.0,98.4772224,7,15,4,2015,425000.0,buy
372,8820900670,2014-06-23,399950.0,3,1.75,1560,5223,1.0,0,0,4,7,810,750,1940,0,98125,47.7175,-122.288,1440,8491,144.9287424,485.23257792000004,69.67728000000001,75.25146240000001,23,26,6,2014,425000.0,buy
381,7715600050,2015-02-19,385000.0,3,1.75,1560,5950,1.0,0,0,4,6,780,780,1944,0,98125,47.719,-122.307,1320,7830,144.9287424,552.773088,72.4643712,72.4643712,19,8,2,2015,425000.0,buy
384,1454100480,2014-08-19,378500.0,2,1.0,880,6171,1.0,0,0,4,7,880,0,1949,0,98125,47.7262,-122.285,2260,12769,81.75467520000001,573.30465984,0.0,81.75467520000001,19,34,8,2014,425000.0,buy
396,4427100025,2014-05-09,270000.0,3,1.5,1500,6337,1.0,0,0,5,7,1500,0,1953,0,98125,47.7276,-122.312,1420,6337,139.35456000000002,588.7265644800001,0.0,139.35456000000002,9,19,5,2014,425000.0,buy
400,6381500065,2014-07-29,376500.0,3,2.0,1630,7800,1.0,0,0,5,7,1630,0,1950,0,98125,47.7326,-122.307,1470,7800,151.4319552,724.643712,0.0,151.4319552,29,31,7,2014,425000.0,buy
415,5272200040,2014-11-21,375000.0,3,1.0,1000,6947,1.0,0,0,4,7,1000,0,1947,0,98125,47.7142,-122.319,1000,6947,92.90304,645.39741888,0.0,92.90304,21,47,11,2014,425000.0,buy
429,3992700775,2015-01-21,410000.0,4,2.0,1490,13736,1.0,0,0,4,6,1490,0,1942,0,98125,47.712,-122.281,2040,7200,138.4255296,1276.11615744,0.0,138.4255296,21,4,1,2015,425000.0,buy
453,6413100311,2014-06-03,390000.0,3,2.0,1080,7236,1.0,0,0,5,7,1080,0,1947,0,98125,47.7143,-122.32,1120,8008,100.3352832,672.24639744,0.0,100.3352832,3,23,6,2014,425000.0,buy
460,7663700783,2014-06-13,369500.0,3,1.5,1650,9957,1.0,0,0,4,7,1100,550,1961,0,98125,47.7303,-122.298,1650,7957,153.290016,925.0355692800001,51.096672000000005,102.19334400000001,13,24,6,2014,425000.0,buy
491,3992700326,2014-08-22,380000.0,3,1.0,1380,5400,1.0,0,0,4,7,1380,0,1954,0,98125,47.7134,-122.288,1190,6075,128.2061952,501.676416,0.0,128.2061952,22,34,8,2014,425000.0,buy
493,3448002267,2015-04-28,385000.0,3,1.75,1340,3850,1.0,0,0,4,7,1340,0,1960,0,98125,47.7134,-122.292,1540,7645,124.4900736,357.67670400000003,0.0,124.4900736,28,18,4,2015,425000.0,buy
504,7663700772,2015-02-18,370000.0,4,2.0,2020,8100,1.5,0,0,4,7,1160,860,1946,0,98125,47.7307,-122.297,1840,8680,187.6641408,752.514624,79.8966144,107.76752640000001,18,8,2,2015,425000.0,buy
514,6414100133,2014-05-22,337000.0,3,1.0,1070,6109,1.0,0,0,5,7,1070,0,1951,0,98125,47.7207,-122.32,1170,7200,99.4062528,567.54467136,0.0,99.4062528,22,21,5,2014,425000.0,buy
526,705000120,2015-04-06,395000.0,3,1.0,950,6951,1.0,0,0,4,7,950,0,1950,0,98125,47.7263,-122.3,1410,7200,88.25788800000001,645.7690310400001,0.0,88.25788800000001,6,15,4,2015,425000.0,buy
550,8820903560,2014-12-16,380000.0,2,1.0,700,4836,1.0,0,0,4,6,700,0,1926,0,98125,47.7139,-122.288,1190,7050,65.032128,449.27910144000003,0.0,65.032128,16,51,12,2014,425000.0,buy
554,6413600285,2014-08-25,402000.0,3,1.75,1580,6127,1.5,0,0,5,7,1580,0,1947,0,98125,47.7192,-122.32,1500,6128,146.7868032,569.21692608,0.0,146.7868032,25,35,8,2014,425000.0,buy
557,3834500170,2015-01-16,375000.0,3,1.75,1430,8412,1.0,0,0,4,7,1070,360,1928,0,98125,47.7218,-122.299,1490,8410,132.85134720000002,781.50037248,33.4450944,99.4062528,16,3,1,2015,425000.0,buy
569,8632100010,2014-06-04,365000.0,2,1.0,1250,8100,1.0,0,0,4,7,1250,0,1947,0,98125,47.7294,-122.329,1710,8100,116.12880000000001,752.514624,0.0,116.12880000000001,4,23,6,2014,425000.0,buy
579,751000190,2014-10-02,355000.0,3,1.75,1120,7740,1.0,0,0,4,6,860,260,1948,0,98125,47.7107,-122.291,1240,7740,104.0514048,719.0695296,24.154790400000003,79.8966144,2,40,10,2014,425000.0,buy
581,9421500130,2014-06-16,378000.0,5,2.5,2760,8015,1.0,0,0,4,8,1600,1160,1960,0,98125,47.7255,-122.297,460,18000,256.4123904,744.6178656000001,107.76752640000001,148.644864,16,25,6,2014,425000.0,buy
584,8901000491,2014-08-28,390000.0,2,1.0,1270,8164,1.0,0,0,4,6,1270,0,1941,0,98125,47.7116,-122.311,1580,9095,117.9868608,758.46041856,0.0,117.9868608,28,35,8,2014,425000.0,buy
603,6381500265,2014-06-27,397000.0,5,1.0,1170,6757,1.0,0,0,4,6,800,370,1944,0,98125,47.7332,-122.304,1590,6794,108.69655680000001,627.74584128,34.374124800000004,74.322432,27,26,6,2014,425000.0,buy
615,9324800025,2014-11-25,325500.0,3,1.5,1540,8110,1.0,0,0,4,7,1190,350,1959,0,98125,47.7329,-122.291,1290,8110,143.0706816,753.4436544,32.516064,110.5546176,25,48,11,2014,425000.0,buy
616,4077800258,2014-10-09,400000.0,3,1.0,1000,7800,1.0,0,0,4,6,860,140,1930,0,98125,47.7098,-122.283,1700,7800,92.90304,724.643712,13.0064256,79.8966144,9,41,10,2014,425000.0,buy
621,3822200087,2015-03-19,355000.0,3,1.0,1180,5965,1.5,0,0,4,6,1180,0,1928,0,98125,47.7281,-122.299,1270,7710,109.62558720000001,554.1666336000001,0.0,109.62558720000001,19,12,3,2015,425000.0,buy
628,8822900115,2014-12-09,306000.0,2,1.75,1200,2622,1.0,0,0,5,7,800,400,1956,0,98125,47.7175,-122.292,1310,1926,111.483648,243.59177088,37.161216,74.322432,9,50,12,2014,425000.0,buy
633,5667100025,2014-07-08,405000.0,3,1.5,1010,7683,1.5,0,0,5,7,1010,0,1953,0,98125,47.72,-122.318,1550,7271,93.8320704,713.77405632,0.0,93.8320704,8,28,7,2014,425000.0,buy
634,6381500110,2015-01-08,330000.0,3,1.0,1160,7912,1.0,0,0,4,7,1160,0,1956,0,98125,47.7336,-122.306,1190,7482,107.76752640000001,735.04885248,0.0,107.76752640000001,8,2,1,2015,425000.0,buy
662,114101516,2014-05-28,310000.0,3,1.0,1430,19901,1.5,0,0,4,7,1430,0,1927,0,98028,47.7558,-122.229,1780,12697,132.85134720000002,1848.86339904,0.0,132.85134720000002,28,22,5,2014,442500.0,buy
665,5634500392,2015-04-10,330000.0,3,3.0,2420,13959,1.0,0,0,4,8,1740,680,1988,0,98028,47.7486,-122.23,2570,13300,224.8253568,1296.83353536,63.1740672,161.6512896,10,15,4,2015,442500.0,buy
666,3649100320,2015-04-30,330000.0,2,1.0,1220,10000,1.0,0,0,5,7,1220,0,1950,0,98028,47.7405,-122.241,2000,9600,113.3417088,929.0304000000001,0.0,113.3417088,30,18,4,2015,442500.0,buy
669,8718500075,2014-11-17,396000.0,3,1.5,1300,8280,1.0,0,0,5,7,1300,0,1956,0,98028,47.7403,-122.256,1570,8692,120.77395200000001,769.2371712,0.0,120.77395200000001,17,47,11,2014,442500.0,buy
676,4140900140,2014-05-27,438000.0,3,1.75,1650,12940,1.0,0,0,4,7,1650,0,1961,0,98028,47.7629,-122.268,2830,12600,153.290016,1202.1653376000002,0.0,153.290016,27,22,5,2014,442500.0,buy
687,7297700055,2015-03-05,306000.0,3,1.0,1190,10350,1.0,0,0,4,7,1190,0,1959,0,98028,47.7428,-122.244,1850,10500,110.5546176,961.546464,0.0,110.5546176,5,10,3,2015,442500.0,buy
708,2570500090,2014-10-07,385000.0,5,1.5,1750,9780,1.5,0,0,4,7,1750,0,1961,0,98028,47.7755,-122.235,1750,10295,162.58032,908.5917312,0.0,162.58032,7,41,10,2014,442500.0,buy
709,3649100315,2014-06-25,418800.0,4,2.25,2100,9984,1.0,0,0,4,7,1290,810,1973,0,98028,47.7365,-122.242,1930,10511,195.096384,927.54395136,75.25146240000001,119.8449216,25,26,6,2014,442500.0,buy
710,3949600090,2014-12-01,335000.0,3,1.0,980,9903,1.0,0,0,4,7,980,0,1966,0,98028,47.7746,-122.239,1830,9903,91.0449792,920.01880512,0.0,91.0449792,1,49,12,2014,442500.0,buy
711,6179900090,2015-05-07,415000.0,3,1.75,1770,10513,1.0,0,0,4,7,1400,370,1982,0,98028,47.7726,-122.266,2070,9968,164.4383808,976.6896595200001,34.374124800000004,130.064256,7,19,5,2015,442500.0,buy
715,8718500495,2014-07-30,375000.0,4,1.75,2190,9225,1.0,0,0,4,7,1250,940,1959,0,98028,47.7396,-122.256,2190,9225,203.4576576,857.0305440000001,87.3288576,116.12880000000001,30,31,7,2014,442500.0,buy
743,3582750280,2015-03-26,347000.0,2,1.75,1315,2162,2.0,0,0,4,8,1315,0,1974,0,98028,47.752,-122.253,1640,2128,122.1674976,200.85637248,0.0,122.1674976,26,13,3,2015,442500.0,buy
749,3582750170,2015-04-29,410000.0,2,2.25,1660,2128,2.0,0,0,4,8,1660,0,1974,0,98028,47.7528,-122.252,1640,2128,154.2190464,197.69766912,0.0,154.2190464,29,18,4,2015,442500.0,buy
752,5628400080,2014-12-18,420000.0,3,2.25,1800,9800,1.0,0,0,4,7,1300,500,1959,0,98028,47.7393,-122.244,1680,9545,167.22547200000002,910.4497920000001,46.45152,120.77395200000001,18,51,12,2014,442500.0,buy
760,3824100235,2014-07-24,425000.0,4,1.75,2120,15920,1.0,0,0,4,7,1060,1060,1960,0,98028,47.771,-122.258,2200,12580,196.9544448,1479.0163968000002,98.4772224,98.4772224,24,30,7,2014,442500.0,buy
763,3649100306,2014-05-06,379900.0,4,1.75,1500,11600,1.0,0,0,4,7,1000,500,1955,0,98028,47.7373,-122.241,1740,11600,139.35456000000002,1077.675264,46.45152,92.90304,6,19,5,2014,442500.0,buy
765,3579700100,2014-05-27,389000.0,5,2.0,2330,10750,1.0,0,0,4,7,1190,1140,1962,0,98028,47.7325,-122.245,1830,10180,216.4640832,998.7076800000001,105.9094656,110.5546176,27,22,5,2014,442500.0,buy
776,3815500035,2014-05-20,385000.0,3,1.5,1490,9630,1.0,0,0,4,8,1490,0,1959,0,98028,47.7623,-122.256,1960,10469,138.4255296,894.6562752000001,0.0,138.4255296,20,21,5,2014,442500.0,buy
782,2570500230,2014-05-29,400000.0,5,2.0,1930,9747,1.0,0,0,4,7,1020,910,1962,0,98028,47.7743,-122.235,2040,9370,179.3028672,905.52593088,84.5417664,94.76110080000001,29,22,5,2014,442500.0,buy
783,3649100276,2014-06-09,368000.0,3,1.75,1710,10800,1.0,0,0,4,7,1710,0,1958,0,98028,47.7391,-122.241,1890,10800,158.86419840000002,1003.352832,0.0,158.86419840000002,9,24,6,2014,442500.0,buy
797,1357300240,2014-10-27,333500.0,3,1.75,1320,7200,1.0,0,0,4,7,1320,0,1977,0,98028,47.7341,-122.237,1750,7260,122.63201280000001,668.9018880000001,0.0,122.63201280000001,27,44,10,2014,442500.0,buy
809,3816300105,2015-01-12,435000.0,4,2.5,2060,10125,2.0,0,0,4,7,1560,500,1979,0,98028,47.764,-122.262,1760,9876,191.38026240000002,940.6432800000001,46.45152,144.9287424,12,3,1,2015,442500.0,buy
816,3818700016,2014-10-07,434000.0,3,1.75,1660,8301,1.0,0,0,5,7,1660,0,1955,0,98028,47.7647,-122.263,1660,9489,154.2190464,771.18813504,0.0,154.2190464,7,41,10,2014,442500.0,buy
819,114100354,2014-12-12,249000.0,3,1.0,1090,10296,1.0,0,0,4,6,1090,0,1950,0,98028,47.7743,-122.26,1910,10296,101.26431360000001,956.52969984,0.0,101.26431360000001,12,50,12,2014,442500.0,buy
834,3582750120,2014-07-15,409000.0,2,2.25,1640,2128,2.0,0,0,4,8,1640,0,1974,0,98028,47.753,-122.252,1640,2128,152.36098560000002,197.69766912,0.0,152.36098560000002,15,29,7,2014,442500.0,buy
851,5631500905,2014-07-23,272925.0,2,1.0,1280,5728,1.5,0,0,5,6,1280,0,1941,0,98028,47.7477,-122.232,2480,9775,118.9158912,532.14861312,0.0,118.9158912,23,30,7,2014,442500.0,buy
853,114100297,2014-09-22,400000.0,3,1.75,1560,8456,1.0,0,0,5,7,1560,0,1970,0,98028,47.7769,-122.25,2230,13109,144.9287424,785.58810624,0.0,144.9287424,22,39,9,2014,442500.0,buy
858,5634500182,2014-07-15,396000.0,4,1.75,1970,12409,1.0,0,0,4,7,1220,750,1968,0,98028,47.7489,-122.236,1690,10720,183.01898880000002,1152.83382336,69.67728000000001,113.3417088,15,29,7,2014,442500.0,buy
860,114101426,2014-06-17,375000.0,3,1.75,1160,22470,1.0,0,0,4,7,1160,0,1976,0,98028,47.7595,-122.23,1940,15999,107.76752640000001,2087.5313088000003,0.0,107.76752640000001,17,25,6,2014,442500.0,buy
863,8045600130,2014-05-28,425000.0,4,2.75,1680,9545,1.0,0,0,4,7,1080,600,1979,0,98028,47.739,-122.243,1890,9545,156.0771072,886.7595168,55.741824,100.3352832,28,22,5,2014,442500.0,buy
870,4140500050,2014-09-08,362000.0,3,1.0,1290,10125,1.0,0,0,4,7,1290,0,1956,0,98028,47.7641,-122.265,1760,14460,119.8449216,940.6432800000001,0.0,119.8449216,8,37,9,2014,442500.0,buy
878,3818700190,2014-12-15,387846.0,4,1.75,2520,15205,1.0,0,0,4,7,2040,480,1954,0,98028,47.7642,-122.264,1680,10000,234.11566080000003,1412.5907232000002,44.593459200000005,189.52220160000002,15,51,12,2014,442500.0,buy
880,3649100346,2015-01-09,322968.0,5,1.75,1890,9600,1.0,0,0,4,7,1890,0,1960,0,98028,47.7391,-122.241,2350,5308,175.5867456,891.869184,0.0,175.5867456,9,2,1,2015,442500.0,buy
881,4189800050,2014-05-20,335000.0,3,1.0,1060,10050,1.0,0,0,4,7,1060,0,1967,0,98028,47.7355,-122.231,1570,9938,98.4772224,933.675552,0.0,98.4772224,20,21,5,2014,442500.0,buy
883,766900250,2015-04-02,406000.0,3,1.75,1270,6017,1.0,0,0,4,7,1030,240,1990,0,98028,47.737,-122.225,1630,7381,117.9868608,558.99759168,22.296729600000003,95.69013120000001,2,14,4,2015,442500.0,buy
885,3818700185,2014-09-25,400000.0,4,1.5,2150,11026,1.0,0,0,4,7,2150,0,1952,0,98028,47.7635,-122.263,1760,10283,199.74153600000002,1024.34891904,0.0,199.74153600000002,25,39,9,2014,442500.0,buy
886,6181700250,2015-02-26,350000.0,2,1.0,720,5820,1.0,0,1,5,6,720,0,1950,0,98028,47.7598,-122.255,952,5820,66.8901888,540.6956928000001,0.0,66.8901888,26,9,2,2015,442500.0,buy
890,3579800405,2014-08-25,440000.0,4,2.5,2300,10880,1.0,0,0,4,7,1190,1110,1961,0,98028,47.7341,-122.242,1960,10400,213.676992,1010.7850752,103.12237440000001,110.5546176,25,35,8,2014,442500.0,buy
892,3649100031,2015-03-05,345000.0,4,1.0,2020,18150,1.0,0,0,4,7,2020,0,1955,0,98028,47.739,-122.249,1530,11970,187.6641408,1686.190176,0.0,187.6641408,5,10,3,2015,442500.0,buy
903,5631501161,2015-04-17,425000.0,4,1.75,1910,16785,1.0,0,0,4,7,1110,800,1981,0,98028,47.7474,-122.235,1590,9900,177.4448064,1559.3775264,74.322432,103.12237440000001,17,16,4,2015,442500.0,buy
906,3824100211,2014-06-26,370000.0,3,1.5,2380,14500,1.0,0,0,4,7,1850,530,1961,0,98028,47.7714,-122.256,1830,13600,221.1092352,1347.09408,49.2386112,171.87062400000002,26,26,6,2014,442500.0,buy
910,8718500610,2014-05-26,379950.0,3,1.5,1690,9144,1.0,0,0,4,7,1140,550,1956,0,98028,47.739,-122.253,1840,10600,157.00613760000002,849.50539776,51.096672000000005,105.9094656,26,22,5,2014,442500.0,buy
946,9238901420,2015-02-02,442000.0,3,1.0,1190,5100,1.0,0,0,4,7,1030,160,1941,0,98136,47.5346,-122.385,1690,5100,110.5546176,473.80550400000004,14.8644864,95.69013120000001,2,6,2,2015,489950.0,buy
952,7625701891,2014-08-06,435000.0,3,1.0,1400,4800,1.0,0,0,4,6,700,700,1917,0,98136,47.5499,-122.391,1470,6000,130.064256,445.934592,65.032128,65.032128,6,32,8,2014,489950.0,buy
962,3013301525,2014-10-13,453500.0,2,1.5,1710,4189,1.0,0,1,5,7,1160,550,1951,0,98136,47.5286,-122.383,1530,5608,158.86419840000002,389.17083456,51.096672000000005,107.76752640000001,13,42,10,2014,489950.0,buy
965,2493200435,2014-08-25,360000.0,2,2.0,1180,3200,1.0,0,1,4,6,590,590,1945,0,98136,47.5275,-122.383,1350,4000,109.62558720000001,297.289728,54.812793600000006,54.812793600000006,25,35,8,2014,489950.0,buy
982,2594200375,2015-03-30,427500.0,3,1.75,1240,7200,1.0,0,0,5,7,1240,0,1942,0,98136,47.5142,-122.389,1640,7200,115.19976960000001,668.9018880000001,0.0,115.19976960000001,30,14,3,2015,489950.0,buy
984,9417400215,2014-07-31,363000.0,2,1.0,820,4880,1.0,0,0,4,6,820,0,1925,0,98136,47.5483,-122.394,1320,4880,76.18049280000001,453.3668352,0.0,76.18049280000001,31,31,7,2014,489950.0,buy
990,3522900061,2015-04-21,418000.0,2,1.0,1040,6900,1.0,0,0,4,7,1040,0,1915,0,98136,47.5411,-122.391,1620,6280,96.61916160000001,641.030976,0.0,96.61916160000001,21,17,4,2015,489950.0,buy
994,2461900945,2015-04-21,438000.0,5,1.0,1950,6250,1.5,0,0,4,7,1450,500,1917,0,98136,47.5511,-122.386,1950,6250,181.160928,580.644,46.45152,134.709408,21,17,4,2015,489950.0,buy
1011,7625703637,2014-08-28,286000.0,2,1.0,610,4000,1.0,0,0,4,6,610,0,1918,0,98136,47.5469,-122.391,870,5160,56.6708544,371.61216,0.0,56.6708544,28,35,8,2014,489950.0,buy
